,nasdaq100,nifty50,gold
2008-02-27,71439.61380257271,5268.39990234375,38030.9571686096
2008-02-28,71448.22119996697,5285.10009765625,38402.533824920654
2008-02-29,69653.72621318512,5223.5,38796.50987730408
2008-03-03,69771.05416965671,4953.0,39509.302587509155
2008-03-04,70112.43069810793,4864.25,38757.45572867431
2008-03-05,70447.91864761384,4921.39990234375,39619.59907973022
2008-03-07,68708.08979034424,4771.60009765625,39120.35474840086
2008-03-10,67446.53122253995,4800.39990234375,39100.54878505552
2008-03-11,69942.66296009067,4865.89990234375,39138.484747161856
2008-03-12,69370.76352617005,4872.0,39131.44480158691
2008-03-13,70233.0515411133,4623.60009765625,39815.04525529174
2008-03-14,68681.73679644009,4745.7998046875,40002.86625076295
2008-03-17,68118.60762113705,4503.10009765625,40430.52513577882
2008-03-18,70713.20247829892,4533.0,40282.49261662597
2008-03-19,68851.77110350924,4573.9501953125,37913.64504213561
2008-03-24,72911.66747277835,4609.85009765625,36901.88627055357
2008-03-25,73076.47424801812,4877.5,37432.596482342575
2008-03-26,72794.7846916113,4828.85009765625,38014.09224700928
2008-03-27,71017.81609256286,4830.25,37899.81522283936
2008-03-28,70022.28638904868,4942.0,36865.719594818074
2008-03-31,71079.4078037152,4734.5,36546.30223100586
2008-04-01,74070.75742282718,4739.5498046875,35245.36735797115
2008-04-02,73737.53905988764,4754.2001953125,35704.15627604979
2008-04-03,73845.83618383482,4771.60009765625,36023.52527618408
2008-04-04,74270.95572505798,4647.0,36182.745277404785
2008-04-07,74114.99365066504,4761.2001953125,36750.21746274107
2008-04-08,73507.75944220461,4709.64990234375,36392.73922729492
2008-04-09,72846.71564807743,4747.0498046875,37241.30245629884
2008-04-10,73701.88341212459,4733.0,36923.1334309387
2008-04-11,71544.08957934566,4777.7998046875,36736.190438232385
2008-04-15,71482.29781786166,4879.64990234375,36989.191454135114
2008-04-16,73639.20170764346,4887.2998046875,37683.02778403927
2008-04-17,72998.25447768066,4958.39990234375,37266.82808497315
2008-04-21,76195.74147239747,5037.0,36430.6712766632
2008-04-22,75002.57112161256,5049.2998046875,36762.87807635497
2008-04-23,76333.13417745056,5022.7998046875,36279.71735043335
2008-04-24,77108.29329632269,4999.85009765625,35529.64029309084
2008-04-25,76867.90330456244,5111.7001953125,35545.6672706909
2008-04-28,77507.37692622375,5089.64990234375,35983.87030265806
2008-04-29,78090.37168247066,5195.5,35305.44308027346
2008-04-30,77448.23327125236,5165.89990234375,34845.04167619627
2008-05-02,80236.00796195678,5228.2001953125,34659.20803411864
