,equity
2014-03-31,13.86426589108545
2014-04-30,13.966147530933991
2014-05-31,15.388594436817726
2014-06-30,17.431936285206934
2014-07-31,16.525920152215363
2014-08-31,16.819023058545817
2014-09-30,17.7321120854265
2014-10-31,18.48098201495718
2014-11-30,18.781539296257165
2014-12-31,19.56427713931856
2015-01-31,21.132361875535786
2015-02-28,21.88077866063692
2015-03-31,22.123510476823018
2015-04-30,21.376208891650528
2015-05-31,21.99803571274236
2015-06-30,22.54753594584651
2015-07-31,23.907260387248037
2015-08-31,22.70469708650667
2015-09-30,22.677149843512243
2015-10-31,22.72100842970533
2015-11-30,21.4014901321948
2015-12-31,21.031489797915636
2016-01-31,19.68510885751799
2016-02-29,18.372440016548023
2016-03-31,19.76722006812908
2016-04-30,20.557545295572055
2016-05-31,20.86432458615435
2016-06-30,22.40309031243932
2016-07-31,23.796973063973336
2016-08-31,24.539741184423633
2016-09-30,24.694001263547225
2016-10-31,26.354320813163987
2016-11-30,25.319130504438007
2016-12-31,24.122266349319215
2017-01-31,26.550678880003492
2017-02-28,27.745004336509826
2017-03-31,28.87075324537055
2017-04-30,31.04182229545688
2017-05-31,31.61774637457687
2017-06-30,30.834814307187422
2017-07-31,32.69026514466258
2017-08-31,32.21589168439371
2017-09-30,32.31311033302657
2017-10-31,36.24132443856809
2017-11-30,35.6708899982621
2017-12-31,38.92079993277099
2018-01-31,38.636986834340036
2018-02-28,37.3435062998245
2018-03-31,35.394144615452916
2018-04-30,38.885049391913064
2018-05-31,38.33826198285813
2018-06-30,37.43829797686769
2018-07-31,38.29700014383757
2018-08-31,40.72383345652512
2018-09-30,36.196324306587776
2018-10-31,35.36429471795724
2018-11-30,37.78637723642136
2018-12-31,37.895262791201326
2019-01-31,36.849505738672754
2019-02-28,37.54805624355537
2019-03-31,39.16804635453967
2019-04-30,38.678473374253656
2019-05-31,40.26383323542717
2019-06-30,41.333239969241646
2019-07-31,39.04477150947908
2019-08-31,39.07665642913238
2019-09-30,41.0682197489527
2019-10-31,46.22530448247115
2019-11-30,48.60112055066063
2019-12-31,50.024977516196365
2020-01-31,51.83508220731786
2020-02-29,48.91516670989735
2020-03-31,40.165697990126496
2020-04-30,48.05589315714212
2020-05-31,48.30918110404295
2020-06-30,51.58914177179078
2020-07-31,53.945684589149685
2020-08-31,57.41946290129314
2020-09-30,60.674626822805294
2020-10-31,63.72795267188996
2020-11-30,72.55405655248772
2020-12-31,76.108860559485
2021-01-31,72.47420100276838
2021-02-28,83.6714086733613
2021-03-31,87.4883439958606
2021-04-30,92.6168896105032
2021-05-31,101.94518132416853
2021-06-30,100.64469423257896
2021-07-31,96.21473864762807
2021-08-31,106.40422094803641
2021-09-30,114.38770371651468
2021-10-31,125.81722617774507
2021-11-30,125.47945245388216
2021-12-31,130.51028895860867
2022-01-31,128.1066355346496
2022-02-28,127.0240582821546
2022-03-31,144.4295310773801
2022-04-30,163.6511383145588
2022-05-31,151.7427978079901
2022-06-30,149.37424067745636
2022-07-31,169.35779192308576
2022-08-31,196.20274573820453
2022-09-30,196.59658030363533
2022-10-31,204.94020038863275
2022-11-30,216.14130106062143
2022-12-31,212.43608151448385
2023-01-31,195.82799588736134
2023-02-28,188.7068191648724
2023-03-31,191.30041581096148
2023-04-30,204.357092169195
2023-05-31,224.74880608834533
2023-06-30,252.5180938263013
2023-07-31,290.0562787617738
2023-08-31,307.8229957274291
2023-09-30,360.2580099152747
2023-10-31,343.38839124103714
2023-11-30,386.7715513999898
2023-12-31,441.0617675031769
2024-01-31,507.27542733706275
2024-02-29,503.4921361883744
2024-03-31,497.41737726968444
2024-04-30,555.6465124323327
2024-05-31,623.5917179882075
2024-06-30,648.2832336141445
2024-07-31,696.9920477961552
2024-08-31,645.3051442673775
2024-09-30,638.2814522364588
2024-10-31,574.3524772070842
2024-11-30,576.2775836418093
2024-12-31,550.7620069881062
2025-01-31,512.1278751231994
2025-02-28,460.1430272549977
2025-03-31,526.1126087562991
2025-04-30,535.1420642384542
2025-05-31,566.9045313600146
2025-06-30,590.2065542654669
2025-07-31,566.350062088072
2025-08-31,558.8005433938845
2025-09-30,561.446763991233
2025-10-31,577.5510104950731
2025-11-30,587.6226690592597
2025-12-31,601.621036551605
2026-01-31,604.7294948894342
2026-02-28,639.7131294565324
2026-03-31,528.8879021521595
2026-04-30,556.5880894691949
2026-05-31,597.8920630267047
2026-06-30,573.2944356786759
2026-07-31,567.6983785061975
