,drawdown
2018-04-30,-0.0009185458911348254
2018-05-31,-0.01496726559883399
2018-06-30,-0.038090223183081307
2018-07-31,-0.01602741439052957
2018-08-31,0.0
2018-09-30,-0.11117590770944252
2018-10-31,-0.13160693097052056
2018-11-30,-0.07213113233162727
2018-12-31,-0.06945737729586399
2019-01-31,-0.09513661630083081
2019-02-28,-0.07798325804372175
2019-03-31,-0.038203355871355704
2019-04-30,-0.05022513620813707
2019-05-31,-0.011295602158598927
2019-06-30,0.0
2019-07-31,-0.05536629747548327
2019-08-31,-0.0545948863865624
2019-09-30,-0.006411794006135563
2019-10-31,0.0
2019-11-30,0.0
2019-12-31,0.0
2020-01-31,0.0
2020-02-29,-0.05633087424733152
2020-03-31,-0.2251252186794821
2020-04-30,-0.0729079397436011
2020-05-31,-0.06802152042843945
2020-06-30,-0.0047446714667765955
2020-07-31,0.0
2020-08-31,0.0
2020-09-30,0.0
2020-10-31,0.0
2020-11-30,0.0
2020-12-31,0.0
2021-01-31,-0.04775606322309667
2021-02-28,0.0
2021-03-31,0.0
2021-04-30,0.0
2021-05-31,0.0
2021-06-30,-0.012756729398069822
2021-07-31,-0.056211020492656916
2021-08-31,0.0
2021-09-30,0.0
2021-10-31,0.0
2021-11-30,-0.002684638138387596
2021-12-31,0.0
2022-01-31,-0.018417348112081733
2022-02-28,-0.02671230524636814
2022-03-31,0.0
2022-04-30,0.0
2022-05-31,-0.07276662190811856
2022-06-30,-0.08723983092412346
2022-07-31,0.0
2022-08-31,0.0
2022-09-30,0.0
2022-10-31,0.0
2022-11-30,0.0
2022-12-31,-0.017142580006485608
2023-01-31,-0.09398159941474027
2023-02-28,-0.12692845726904567
2023-03-31,-0.11492891514839543
2023-04-30,-0.05452085665072082
2023-05-31,0.0
2023-06-30,0.0
2023-07-31,0.0
2023-08-31,0.0
2023-09-30,0.0
2023-10-31,-0.046826491597521946
2023-11-30,0.0
2023-12-31,0.0
2024-01-31,0.0
2024-02-29,-0.00745806113366998
2024-03-31,-0.019433328594542942
2024-04-30,0.0
2024-05-31,0.0
2024-06-30,0.0
2024-07-31,0.0
2024-08-31,-0.07415709216799315
2024-09-30,-0.08423424018299153
2024-10-31,-0.17595548037721465
2024-11-30,-0.17319345971885536
2024-12-31,-0.20980159138173693
2025-01-31,-0.26523139432865084
2025-02-28,-0.33981595814480114
2025-03-31,-0.24516698516169033
2025-04-30,-0.23221209491479922
2025-05-31,-0.18664132086939744
2025-06-30,-0.15320905578239707
2025-07-31,-0.18743683822672708
2025-08-31,-0.19826840900010778
2025-09-30,-0.194471779460767
2025-10-31,-0.17136642760666654
2025-11-30,-0.15691625045467106
2025-12-31,-0.1368322802908689
2026-01-31,-0.13237246134794411
2026-02-28,-0.08218016047777754
2026-03-31,-0.24118517015442342
2026-04-30,-0.20144269761887357
2026-05-31,-0.1421823750827551
2026-06-30,-0.17747349128100298
2026-07-31,-0.18550235931496795
