,0,1,2,3,4,5,6,7,8,9
2012-06-30,SHREECEM,SOLARINDS,GODREJCP,BOSCHLTD,AMBUJACEM,DIVISLAB,BPCL,BRITANNIA,CHOLAFIN,BAJAJHLDNG
2012-07-31,SHREECEM,GODREJCP,AMBUJACEM,SOLARINDS,DIVISLAB,CHOLAFIN,BOSCHLTD,BPCL,TORNTPHARM,BAJAJHLDNG
2012-08-31,SHREECEM,GODREJCP,DIVISLAB,AMBUJACEM,CHOLAFIN,SOLARINDS,TORNTPHARM,BOSCHLTD,PIDILITIND,PFC
2012-09-30,SHREECEM,GODREJCP,UNITDSPR,CHOLAFIN,DIVISLAB,AMBUJACEM,MOTHERSON,TORNTPHARM,SOLARINDS,RECLTD
2012-10-31,SHREECEM,GODREJCP,DIVISLAB,CHOLAFIN,UNITDSPR,AMBUJACEM,MOTHERSON,BOSCHLTD,PFC,CUMMINSIND
2012-11-30,UNITDSPR,SHREECEM,CHOLAFIN,GODREJCP,MOTHERSON,DIVISLAB,AMBUJACEM,PIDILITIND,CUMMINSIND,SOLARINDS
2012-12-31,UNITDSPR,CHOLAFIN,MOTHERSON,SHREECEM,GODREJCP,UNIONBANK,RECLTD,PIDILITIND,PFC,CUMMINSIND
2013-01-31,UNITDSPR,SHREECEM,CHOLAFIN,MOTHERSON,PIDILITIND,GODREJCP,BAJAJHLDNG,BPCL,DIVISLAB,SOLARINDS
2013-02-28,UNITDSPR,CHOLAFIN,GODREJCP,MOTHERSON,PIDILITIND,SHREECEM,DIVISLAB,MUTHOOTFIN,TORNTPHARM,DLF
2013-03-31,UNITDSPR,GODREJCP,MOTHERSON,PIDILITIND,MUTHOOTFIN,CHOLAFIN,DIVISLAB,SHREECEM,SOLARINDS,DLF
2013-04-30,UNITDSPR,MOTHERSON,SHREECEM,GODREJCP,CHOLAFIN,PIDILITIND,DLF,DIVISLAB,AMBUJACEM,BPCL
2013-05-31,UNITDSPR,SHREECEM,MOTHERSON,PIDILITIND,CHOLAFIN,GODREJCP,RECLTD,BRITANNIA,TORNTPHARM,PFC
2013-06-30,UNITDSPR,MOTHERSON,PIDILITIND,SHREECEM,GODREJCP,CHOLAFIN,TORNTPHARM,BRITANNIA,AMBUJACEM,RECLTD
2013-07-31,UNITDSPR,MOTHERSON,PIDILITIND,BRITANNIA,SHREECEM,TORNTPHARM,GODREJCP,BAJAJHLDNG,CHOLAFIN,CUMMINSIND
2013-08-31,UNITDSPR,MOTHERSON,BRITANNIA,PIDILITIND,TORNTPHARM,GODREJCP,VEDL,BAJAJHLDNG,SHREECEM,CHOLAFIN
2013-09-30,UNITDSPR,BRITANNIA,MOTHERSON,TORNTPHARM,GODREJCP,PIDILITIND,SHREECEM,VEDL,CHOLAFIN,BOSCHLTD
2013-10-31,UNITDSPR,BRITANNIA,MOTHERSON,PIDILITIND,TORNTPHARM,TVSMOTOR,GODREJCP,VEDL,BPCL,SHREECEM
2013-11-30,BRITANNIA,MOTHERSON,TVSMOTOR,TORNTPHARM,PIDILITIND,UNITDSPR,GODREJCP,CGPOWER,BAJAJHLDNG,CHOLAFIN
2013-12-31,TVSMOTOR,BRITANNIA,MOTHERSON,UNITDSPR,TORNTPHARM,PIDILITIND,GODREJCP,CGPOWER,DIVISLAB,BOSCHLTD
2014-01-31,BRITANNIA,TVSMOTOR,TORNTPHARM,MOTHERSON,UNITDSPR,DIVISLAB,PIDILITIND,CGPOWER,GAIL,GODREJCP
2014-02-28,TVSMOTOR,BRITANNIA,MOTHERSON,TORNTPHARM,CGPOWER,DIVISLAB,ZYDUSLIFE,INDHOTEL,UNITDSPR,ABB
2014-03-31,TVSMOTOR,MOTHERSON,CGPOWER,ABB,BRITANNIA,TORNTPHARM,SIEMENS,SHREECEM,DIVISLAB,UNITDSPR
2014-04-30,TVSMOTOR,MOTHERSON,CGPOWER,TORNTPHARM,ABB,BRITANNIA,MUTHOOTFIN,DIVISLAB,PIDILITIND,SIEMENS
2014-05-31,TVSMOTOR,MOTHERSON,CGPOWER,INDHOTEL,VEDL,PFC,SOLARINDS,TORNTPHARM,MUTHOOTFIN,RECLTD
2014-06-30,TVSMOTOR,MOTHERSON,CGPOWER,PFC,SOLARINDS,INDHOTEL,VEDL,MUTHOOTFIN,RECLTD,ABB
2014-07-31,TVSMOTOR,MOTHERSON,PFC,SOLARINDS,MUTHOOTFIN,CGPOWER,VEDL,INDHOTEL,ABB,RECLTD
2014-08-31,TVSMOTOR,MOTHERSON,BPCL,SOLARINDS,CGPOWER,PFC,PNB,SHREECEM,ABB,INDHOTEL
2014-09-30,TVSMOTOR,MOTHERSON,SOLARINDS,CGPOWER,MUTHOOTFIN,CHOLAFIN,ABB,SHREECEM,INDHOTEL,BPCL
2014-10-31,TVSMOTOR,SOLARINDS,MOTHERSON,PFC,ZYDUSLIFE,CHOLAFIN,INDHOTEL,BPCL,SHREECEM,MUTHOOTFIN
2014-11-30,TVSMOTOR,SOLARINDS,INDHOTEL,MOTHERSON,TORNTPHARM,BPCL,BOSCHLTD,ZYDUSLIFE,PFC,SHREECEM
2014-12-31,TVSMOTOR,SOLARINDS,MOTHERSON,TORNTPHARM,SHREECEM,INDHOTEL,BRITANNIA,ZYDUSLIFE,CHOLAFIN,BOSCHLTD
2015-01-31,TVSMOTOR,SOLARINDS,BOSCHLTD,SHREECEM,PFC,CHOLAFIN,MOTHERSON,ABB,BRITANNIA,BPCL
2015-02-28,SOLARINDS,TVSMOTOR,BOSCHLTD,CHOLAFIN,BRITANNIA,SHREECEM,SIEMENS,BPCL,MOTHERSON,ABB
2015-03-31,SOLARINDS,TVSMOTOR,BRITANNIA,BOSCHLTD,TORNTPHARM,CHOLAFIN,MOTHERSON,PIDILITIND,SHREECEM,SIEMENS
2015-04-30,SOLARINDS,BRITANNIA,TVSMOTOR,BOSCHLTD,TORNTPHARM,CHOLAFIN,MOTHERSON,SIEMENS,PIDILITIND,SHREECEM
2015-05-31,BRITANNIA,SOLARINDS,ZYDUSLIFE,TORNTPHARM,BOSCHLTD,CHOLAFIN,TVSMOTOR,PIDILITIND,BPCL,SHREECEM
2015-06-30,BRITANNIA,TORNTPHARM,SOLARINDS,PIDILITIND,ZYDUSLIFE,CHOLAFIN,MOTHERSON,BOSCHLTD,SHREECEM,TVSMOTOR
2015-07-31,BRITANNIA,TORNTPHARM,SOLARINDS,BOSCHLTD,ZYDUSLIFE,SIEMENS,CHOLAFIN,GODREJCP,BPCL,TVSMOTOR
2015-08-31,BRITANNIA,TORNTPHARM,SOLARINDS,CUMMINSIND,SIEMENS,ZYDUSLIFE,BOSCHLTD,DIVISLAB,CHOLAFIN,PIDILITIND
2015-09-30,BRITANNIA,TORNTPHARM,CUMMINSIND,SIEMENS,ZYDUSLIFE,SOLARINDS,PIDILITIND,SHREECEM,BPCL,CHOLAFIN
2015-10-31,BRITANNIA,TORNTPHARM,SIEMENS,ZYDUSLIFE,CUMMINSIND,BOSCHLTD,PIDILITIND,SOLARINDS,SHREECEM,GODREJCP
2015-11-30,BRITANNIA,CHOLAFIN,TORNTPHARM,SIEMENS,TVSMOTOR,DIVISLAB,GODREJCP,ZYDUSLIFE,SHREECEM,BPCL
2015-12-31,BRITANNIA,BPCL,CHOLAFIN,GODREJCP,DIVISLAB,SIEMENS,SOLARINDS,IOC,TORNTPHARM,SHREECEM
2016-01-31,BRITANNIA,DIVISLAB,TORNTPHARM,BPCL,IOC,CHOLAFIN,GODREJCP,BAJAJHLDNG,CUMMINSIND,SOLARINDS
2016-02-29,BRITANNIA,TORNTPHARM,IOC,DIVISLAB,CHOLAFIN,BPCL,PIDILITIND,GODREJCP,ZYDUSLIFE,BAJAJHLDNG
2016-03-31,GODREJCP,BRITANNIA,TVSMOTOR,CHOLAFIN,TORNTPHARM,BAJAJHLDNG,HINDZINC,BPCL,SHREECEM,DIVISLAB
2016-04-30,TVSMOTOR,CHOLAFIN,BPCL,BRITANNIA,GODREJCP,SHREECEM,DIVISLAB,IOC,TORNTPHARM,HINDZINC
2016-05-31,CHOLAFIN,GODREJCP,PIDILITIND,MUTHOOTFIN,DIVISLAB,BPCL,TVSMOTOR,IOC,BAJAJHLDNG,HINDZINC
2016-06-30,CHOLAFIN,MUTHOOTFIN,INDHOTEL,DLF,PIDILITIND,CGPOWER,GODREJCP,BPCL,SHREECEM,TVSMOTOR
2016-07-31,MUTHOOTFIN,CHOLAFIN,HINDZINC,DLF,ADANIENSOL,INDHOTEL,SHREECEM,BPCL,PIDILITIND,VEDL
