,strategy
2013-03-31,-0.02737326680328535
2013-04-30,0.007139024522183603
2013-05-31,0.013632352752759185
2013-06-30,-0.081569251115174
2013-07-31,-0.02152542153606893
2013-08-31,-0.06466739908587453
2013-09-30,0.08516311888838037
2013-10-31,0.07370926295491778
2013-11-30,-0.0004428050241743728
2013-12-31,0.036555172724616274
2014-01-31,-0.008251771864845154
2014-02-28,0.055301587658969135
2014-03-31,0.06645965164647306
2014-04-30,0.007348505910727635
2014-05-31,0.10184962622893094
2014-06-30,0.13278287739525083
2014-07-31,-0.051974497736114095
2014-08-31,0.017735950774950413
2014-09-30,0.054289064454117596
2014-10-31,0.04223241573947367
2014-11-30,0.016263057940142604
2014-12-31,0.04167591541431222
2015-01-31,0.08015040499839514
2015-02-28,0.0354156714478542
2015-03-31,0.011093381088067247
2015-04-30,-0.033778616913232515
2015-05-31,0.029089668062455977
2015-06-30,0.024979513638385978
2015-07-31,0.06030479093889651
2015-08-31,-0.05030117551163683
2015-09-30,-0.0012132838808405328
2015-10-31,0.0019340431445635715
2015-11-30,-0.05807481219827357
2015-12-31,-0.01728853140569701
2016-01-31,-0.06401738313997535
2016-02-29,-0.06668334173161775
2016-03-31,0.0759169740287508
2016-04-30,0.03998160716170835
2016-05-31,0.014922953405743938
2016-06-30,0.073751044273252
2016-07-31,0.06221832488708303
2016-08-31,0.031212714257965152
2016-09-30,0.006286133091799207
2016-10-31,0.06723574409416158
2016-11-30,-0.039279718724866686
2016-12-31,-0.047271139698458496
2017-01-31,0.1006709939902813
2017-02-28,0.044982859455463285
2017-03-31,0.04057483268724316
2017-04-30,0.07519959841832187
2017-05-31,0.018553165907540192
2017-06-30,-0.02476242481402749
2017-07-31,0.060173893670657244
2017-08-31,-0.014511153646801365
2017-09-30,0.003017723351731957
2017-10-31,0.12156719254372023
2017-11-30,-0.015739889453348317
2017-12-31,0.09110818190034578
2018-01-31,-0.007292067452909243
2018-02-28,-0.03347777972597773
2018-03-31,-0.052200820906330936
2018-04-30,0.09862944321406303
2018-05-31,-0.014061635965637996
2018-06-30,-0.023474303722814293
2018-07-31,0.02293646381842617
2018-08-31,0.06336875743720763
2018-09-30,-0.11117590770944251
2018-10-31,-0.02298657680219495
2018-11-30,0.06848949025510279
2018-12-31,0.0028816087368919575
2019-01-31,-0.027595983653433884
2019-02-28,0.01895684869795974
2019-03-31,0.04314444669189353
2019-04-30,-0.012499295365781465
2019-05-31,0.04098817049560215
2019-06-30,0.026559983187927676
2019-07-31,-0.05536629747548339
2019-08-31,0.0008166245676598185
2019-09-30,0.05096555083805929
2019-10-31,0.12557361300400574
2019-11-30,0.051396439564619874
2019-12-31,0.02929679294228501
2020-01-31,0.03618401808447481
2020-02-29,-0.056330874247331505
2020-03-31,-0.17887026270730275
2020-04-30,0.19644113165804267
2020-05-31,0.005270694815151475
2020-06-30,0.06789518250544996
2020-07-31,0.04567904672233707
2020-08-31,0.06439399812236611
2020-09-30,0.05669095036830884
2020-10-31,0.05032294402076213
2020-11-30,0.13849658604348838
2020-12-31,0.04899524817644933
2021-01-31,-0.04775606322309664
2021-02-28,0.1544992220081903
2021-03-31,0.04561815538925559
2021-04-30,0.0586197587062025
2021-05-31,0.10071912102528065
2021-06-30,-0.01275672939806973
2021-07-31,-0.044015788598987145
2021-08-31,0.1059035491197017
2021-09-30,0.07502975631368125
2021-10-31,0.09991915293234677
2021-11-30,-0.002684638138387572
2021-12-31,0.04009291088176788
2022-01-31,-0.018417348112081604
2022-02-28,-0.008450594678229506
2022-03-31,0.13702500951877364
2022-04-30,0.1330864061788063
2022-05-31,-0.07276662190811858
2022-06-30,-0.015609025039401349
2022-07-31,0.13378177626207904
2022-08-31,0.15851029651656337
2022-09-30,0.002007283659303641
2022-10-31,0.04244031138339744
2022-11-30,0.05465545876674163
2022-12-31,-0.017142580006485598
2023-01-31,-0.07817921281884574
2023-02-28,-0.036364446718767346
2023-03-31,0.01374405364664157
2023-04-30,0.06825221107274443
2023-05-31,0.09978471362406764
2023-06-30,0.12355699779352922
2023-07-31,0.1486554264950762
2023-08-31,0.06125265428316184
2023-09-30,0.1703414459466693
2023-10-31,-0.046826491597521995
2023-11-30,0.1263384589157542
2023-12-31,0.14036765606641396
2024-01-31,0.15012332673656398
2024-02-29,-0.007458061133670007
2024-03-31,-0.012065250839224943
2024-04-30,0.11706292908837844
2024-05-31,0.12228134980717484
2024-06-30,0.0395956439344562
2024-07-31,0.07513508240906018
2024-08-31,-0.07415709216799317
2024-09-30,-0.010884295737162928
2024-10-31,-0.10015797075941249
2024-11-30,0.003351785725877522
2024-12-31,-0.04427653856056024
2025-01-31,-0.07014669017600038
2025-02-28,-0.10150755386180839
2025-03-31,0.1433675565939697
2025-04-30,0.017162590920411887
2025-05-31,0.059353336700901566
2025-06-30,0.04110396304215508
2025-07-31,-0.040420581582807404
2025-08-31,-0.013330127777073531
2025-09-30,0.004735536907814425
2025-10-31,0.028683479069961465
2025-11-30,0.017438561064161744
2025-12-31,0.0238220344949519
2026-01-31,0.005166804597868517
2026-02-28,0.05785005504567693
2026-03-31,-0.17324207086155063
2026-04-30,0.05237440146450174
2026-05-31,0.07420923001945734
2026-06-30,-0.04114058183597291
2026-07-31,-0.009761227083695064
