date,equity
2012-03-05,3098949.9
2012-03-12,3163843.43
2012-03-19,3210879.96
2012-03-26,3272690.6
2012-04-02,3260629.89
2012-04-09,3347378.73
2012-04-16,3308299.79
2012-04-23,3204654.03
2012-04-30,3183471.86
2012-05-07,3140280.43
2012-05-14,3183098.18
2012-05-21,3173212.32
2012-05-28,3190104.61
2012-06-04,3175074.32
2012-06-11,3189201.96
2012-06-18,3234031.61
2012-06-25,3259738.44
2012-07-02,3244807.86
2012-07-09,3273497.57
2012-07-16,3233509.51
2012-07-23,3310694.82
2012-07-30,3377127.7
2012-08-06,3398823.68
2012-08-13,3439974.73
2012-08-20,3397101.32
2012-08-27,3432465.1
2012-09-03,3464816.63
2012-09-10,3472651.14
2012-09-17,3600498.35
2012-09-24,3628319.44
2012-10-01,3644362.75
2012-10-08,3667786.7
2012-10-15,3718415.97
2012-10-22,3728983.91
2012-10-29,3830194.84
2012-11-05,3881634.91
2012-11-12,3852509.49
2012-11-19,3965831.52
2012-11-26,4054791.31
2012-12-03,4004547.87
2012-12-10,4041414.76
2012-12-17,4056020.81
2012-12-24,4167071.29
2012-12-31,4068000.27
2013-01-07,4055898.51
2013-01-14,4016625.6
2013-01-21,4048569.23
2013-01-28,3946102.27
2013-02-04,3910174.51
2013-02-11,3903309.39
2013-02-18,3844465.92
2013-02-25,3891504.94
2013-03-04,3869229.83
2013-03-11,3778824.52
2013-03-18,3801500.96
2013-03-25,3788430.12
2013-04-01,3727938.3
2013-04-08,3720584.06
2013-04-15,3734806.73
2013-04-22,3762578.46
2013-04-29,3813185.09
2013-05-06,3865663.83
2013-05-13,3815757.64
2013-05-20,3890348.97
2013-05-27,3880017.41
2013-06-03,3807538.96
2013-06-10,3784121.03
2013-06-17,3768175.9
2013-06-24,3793869.99
2013-07-01,3846656.55
2013-07-08,3910249.48
2013-07-15,3809972.74
2013-07-22,3665495.65
2013-07-29,3630855.52
2013-08-05,3654800.74
2013-08-12,3612224.26
2013-08-19,3635860.6
2013-08-26,3623662.6
2013-09-02,3620878.78
2013-09-09,3624816.39
2013-09-16,3648468.28
2013-09-23,3715291.2
2013-09-30,3834623.41
2013-10-07,3835242.4
2013-10-14,3858160.71
2013-10-21,3925074.23
2013-10-28,3991661.45
2013-11-04,3993774.62
2013-11-11,3998574.55
2013-11-18,4094508.67
2013-11-25,4157113.5
2013-12-02,4143194.32
2013-12-09,4392299.37
2013-12-16,4474126.59
2013-12-23,4506824.19
2013-12-30,4524367.17
2014-01-06,4455012.53
2014-01-13,4446513.16
2014-01-20,4376774.54
2014-01-27,4460863.56
2014-02-03,4490754.86
2014-02-10,4603674.22
2014-02-17,4686098.53
2014-02-24,4657674.05
