symbol,entry_date,exit_date,entry,exit,return_pct,pnl,weeks_held
FACT.NS,2020-06-22,2020-09-21,49.84,48.24,-3.2,-11453.0,13
BSOFT.NS,2020-06-22,2021-02-15,83.57,221.25,164.8,508260.0,34
IDBI.NS,2020-06-29,2020-07-13,50.68,36.77,-27.5,-85348.0,2
SUZLON.NS,2020-06-29,2020-07-13,5.56,4.32,-22.3,-69671.0,2
HAL.NS,2020-06-29,2020-08-24,381.81,438.01,14.7,43376.0,8
BDL.NS,2020-06-29,2020-08-31,179.04,182.56,2.0,4468.0,9
NATCOPHARM.NS,2020-07-06,2020-08-31,652.9,740.85,13.5,40035.0,8
IRB.NS,2020-07-06,2020-09-21,6.16,5.39,-12.5,-40064.0,11
LTM.NS,2020-07-06,2020-09-21,1964.29,2302.93,17.2,51491.0,11
TATACONSUM.NS,2020-07-06,2020-09-21,410.3,490.34,19.5,58651.0,11
NEULANDLAB.NS,2020-07-06,2020-11-16,588.94,1025.97,74.2,227323.0,19
PIIND.NS,2020-07-06,2020-11-23,1744.34,2164.48,24.1,72635.0,20
POLYMED.NS,2020-07-06,2021-05-31,347.67,995.64,186.4,573708.0,47
LALPATHLAB.NS,2020-07-13,2020-09-21,891.43,880.6,-1.2,-2381.0,10
CDSL.NS,2020-07-13,2021-01-25,140.69,228.24,62.2,192934.0,28
INFY.NS,2020-07-13,2021-01-25,774.51,1077.57,39.1,120564.0,28
NAUKRI.NS,2020-07-13,2021-01-25,607.54,859.54,41.5,127892.0,28
ZYDUSLIFE.NS,2020-07-13,2021-01-25,367.14,437.48,19.2,58288.0,28
TARIL.NS,2020-07-20,2020-08-03,5.61,5.14,-8.4,-9.0,2
DEEPAKFERT.NS,2020-07-20,2020-10-12,120.77,132.76,9.9,57.0,12
DIVISLAB.NS,2020-07-27,2020-09-21,2532.61,2994.77,18.2,49318.0,8
CAPLIPOINT.NS,2020-08-03,2020-10-26,586.32,491.23,-16.2,-293.0,12
ZENTEC.NS,2020-08-10,2020-08-31,90.79,73.67,-18.9,-67698.0,3
GPIL.NS,2020-08-10,2021-01-18,71.16,119.53,68.0,142584.0,23
ADANIENT.NS,2020-08-24,2021-06-14,289.17,1485.73,413.8,1438889.0,42
IDEA.NS,2020-08-31,2020-09-14,13.25,11.25,-15.1,-55143.0,2
INOXWIND.NS,2020-08-31,2020-09-14,12.12,10.72,-11.5,-42598.0,2
HINDZINC.NS,2020-09-07,2020-09-21,141.33,124.86,-11.7,-42735.0,2
COFORGE.NS,2020-09-07,2020-10-26,390.1,412.09,5.6,18052.0,7
PFIZER.NS,2020-09-07,2021-01-18,4605.95,4444.79,-3.5,-13968.0,19
HCLTECH.NS,2020-09-07,2021-01-25,586.5,729.73,24.4,84109.0,20
BLUEDART.NS,2020-09-07,2021-07-26,2817.11,5338.92,89.5,312677.0,46
WIPRO.NS,2020-09-14,2020-10-12,143.96,156.06,8.4,29292.0,4
ZYDUSWELL.NS,2020-09-14,2020-11-02,383.75,348.37,-9.2,-36023.0,7
MCX.NS,2020-09-14,2020-11-16,331.52,306.77,-7.5,-14935.0,9
PGEL.NS,2020-09-14,2020-11-16,7.84,12.88,64.2,236311.0,9
NATCOPHARM.NS,2020-09-14,2021-01-25,855.73,860.67,0.6,283.0,19
AMBER.NS,2020-09-14,2021-03-22,2051.2,3075.3,49.9,183042.0,27
MPHASIS.NS,2020-09-14,2021-09-27,1207.83,2726.46,125.7,463198.0,54
HEROMOTOCO.NS,2020-09-28,2020-10-19,2623.08,2537.67,-3.3,-13763.0,3
WELSPUNLIV.NS,2020-09-28,2020-11-02,71.6,63.84,-10.8,-41552.0,5
ASIANPAINT.NS,2020-09-28,2021-01-11,1933.31,2459.65,27.2,97918.0,15
TIMKEN.NS,2020-09-28,2021-01-18,1088.61,1208.53,11.0,38474.0,16
TCS.NS,2020-09-28,2021-01-25,2246.11,2674.02,19.1,67745.0,17
INTELLECT.NS,2020-09-28,2021-07-26,232.78,738.27,217.2,793834.0,43
AMBUJACEM.NS,2020-10-05,2021-01-25,213.53,236.26,10.6,37286.0,16
BERGEPAINT.NS,2020-10-05,2021-01-25,486.25,574.94,18.2,48438.0,16
LTM.NS,2020-10-05,2021-02-15,2717.67,3554.05,30.8,110795.0,19
ANANTRAJ.NS,2020-10-05,2021-04-12,20.21,47.76,136.4,499568.0,27
LALPATHLAB.NS,2020-10-05,2021-05-03,973.67,1381.39,41.9,151891.0,30
JKCEMENT.NS,2020-10-12,2020-12-07,1714.8,1899.92,10.8,37506.0,8
JSL.NS,2020-10-12,2021-02-01,57.53,74.96,30.3,109003.0,16
TTML.NS,2020-10-19,2020-11-09,6.2,6.35,2.4,7153.0,3
CGPOWER.NS,2020-10-19,2020-12-14,25.29,41.54,64.3,237770.0,8
CROMPTON.NS,2020-10-19,2021-02-22,287.06,368.8,28.5,92114.0,18
CEATLTD.NS,2020-10-19,2021-04-12,1070.46,1307.29,22.1,80578.0,25
CRISIL.NS,2020-10-26,2020-12-14,1912.84,1758.48,-8.1,-1635.0,7
HBLENGINE.NS,2020-10-26,2021-02-15,20.61,33.86,64.3,238302.0,16
ATGL.NS,2020-10-26,2021-06-14,221.03,1193.8,440.1,1938.0,33
SAREGAMA.NS,2020-10-26,2021-08-16,61.16,287.95,370.8,1383305.0,42
SARDAEN.NS,2020-11-02,2021-01-18,27.78,33.42,20.3,99.0,11
SRF.NS,2020-11-02,2021-01-18,972.88,1085.82,11.6,31042.0,11
HAVELLS.NS,2020-11-02,2021-03-15,796.73,1009.21,26.7,99408.0,19
CHAMBLFERT.NS,2020-11-09,2021-03-15,160.08,191.76,19.8,66685.0,18
KPRMILL.NS,2020-11-09,2021-08-16,158.24,342.81,116.6,455010.0,40
APOLLOHOSP.NS,2020-11-09,2021-09-27,2233.96,4399.9,97.0,376138.0,46
INOXWIND.NS,2020-11-16,2020-11-30,15.47,13.16,-14.9,-60184.0,2
WOCKPHARMA.NS,2020-11-16,2021-01-25,378.23,444.14,17.4,65899.0,10
ASTRAL.NS,2020-11-16,2021-03-15,781.78,1240.46,58.7,226358.0,17
ACE.NS,2020-11-23,2021-04-19,112.03,147.43,31.6,125238.0,21
TARIL.NS,2020-11-30,2021-01-18,9.25,8.87,-4.0,-18588.0,7
IFCI.NS,2020-12-07,2020-12-21,10.7,9.35,-12.6,-54582.0,2
HINDCOPPER.NS,2020-12-14,2021-01-18,62.1,56.12,-9.6,-42559.0,5
PAGEIND.NS,2020-12-14,2021-01-25,26193.56,25634.27,-2.1,-8266.0,6
LTTS.NS,2020-12-14,2021-05-03,2071.09,2374.7,14.7,59377.0,20
FSL.NS,2020-12-21,2021-01-11,81.43,79.16,-2.8,-13997.0,3
VEDL.NS,2020-12-21,2021-01-25,77.89,77.22,-0.9,-4792.0,5
J%26KBANK.NS,2021-01-11,2021-01-25,27.99,26.75,-4.4,-20773.0,2
TMPV.NS,2021-01-11,2021-07-05,254.91,302.79,18.8,83262.0,25
WHIRLPOOL.NS,2021-01-18,2021-02-01,2641.49,2400.3,-9.1,-43652.0,2
PCBL.NS,2021-01-18,2021-03-15,84.17,81.6,-3.1,-16146.0,8
APOLLOTYRE.NS,2021-01-18,2021-04-12,216.01,185.01,-14.3,-67360.0,12
UNOMINDA.NS,2021-01-18,2021-04-12,244.04,234.51,-3.9,-19982.0,12
ADANIENSOL.NS,2021-01-18,2021-06-14,486.0,1178.15,142.4,643270.0,21
CYIENT.NS,2021-01-18,2021-08-09,548.75,868.37,58.2,225044.0,29
SHRIRAMFIN.NS,2021-01-25,2021-02-22,232.88,236.95,1.7,5470.0,4
UBL.NS,2021-01-25,2021-02-22,1261.31,1134.28,-10.1,-46423.0,4
TVSMOTOR.NS,2021-01-25,2021-03-08,546.74,573.02,4.8,18903.0,6
HINDCOPPER.NS,2021-01-25,2021-03-15,58.94,123.42,109.4,478596.0,7
PGEL.NS,2021-01-25,2021-03-15,17.3,36.76,112.5,492265.0,7
CUMMINSIND.NS,2021-01-25,2021-05-10,607.91,754.51,24.1,103672.0,15
JUBLPHARMA.NS,2021-02-01,2021-02-15,915.11,737.49,-19.4,-94327.0,2
CANBK.NS,2021-02-01,2021-02-22,27.49,26.96,-1.9,-1.0,3
TEJASNET.NS,2021-02-01,2021-02-22,163.16,193.31,18.5,7547.0,3
ASHOKLEY.NS,2021-02-01,2021-03-15,59.82,52.18,-12.8,-16.0,6
CARBORUNIV.NS,2021-02-01,2021-03-15,468.48,457.47,-2.4,-13529.0,6
INDIANB.NS,2021-02-01,2021-03-15,110.87,102.31,-7.7,-39025.0,6
NCC.NS,2021-02-01,2021-03-22,76.41,72.33,-5.3,-27730.0,7
SBIN.NS,2021-02-01,2021-03-22,360.74,323.76,-10.3,-50995.0,7
IIFL.NS,2021-02-01,2021-04-12,196.89,260.65,32.4,151276.0,10
OLECTRA.NS,2021-02-01,2021-04-12,184.18,185.93,0.9,2124.0,10
ULTRACEMCO.NS,2021-02-01,2021-04-19,6083.35,5846.82,-3.9,-20775.0,11
THERMAX.NS,2021-02-01,2021-09-27,1146.28,1334.71,16.4,75624.0,34
CENTRALBK.NS,2021-02-15,2021-03-01,19.42,17.88,-7.9,-25752.0,2
NIACL.NS,2021-02-15,2021-03-01,170.95,143.79,-15.9,-80985.0,2
BANKINDIA.NS,2021-02-15,2021-03-15,70.23,57.03,-18.8,-95340.0,4
GICRE.NS,2021-02-15,2021-05-17,180.87,170.19,-5.9,-31656.0,13
IOB.NS,2021-02-15,2021-08-02,17.15,21.85,27.4,132989.0,24
PFOCUS.NS,2021-02-22,2021-03-15,61.0,60.45,-0.9,-7174.0,3
BHEL.NS,2021-02-22,2021-04-12,47.9,43.28,-9.7,-5.0,7
ABCAPITAL.NS,2021-02-22,2021-04-19,124.3,117.2,-5.7,-31770.0,8
SAIL.NS,2021-02-22,2021-05-10,66.84,110.4,65.2,184516.0,11
IFCI.NS,2021-03-01,2021-03-15,12.3,12.3,0.0,-822.0,2
ADANIPOWER.NS,2021-03-01,2021-06-14,15.27,21.84,43.0,224948.0,15
NIACL.NS,2021-03-08,2021-04-12,157.87,139.48,-11.7,-55629.0,5
M%26MFIN.NS,2021-03-15,2021-04-05,193.95,167.41,-13.7,-76211.0,3
PERSISTENT.NS,2021-03-15,2021-04-19,959.39,901.74,-6.0,-34952.0,5
GPIL.NS,2021-03-15,2021-05-17,157.56,213.41,35.4,187788.0,9
CGPOWER.NS,2021-03-22,2021-04-19,67.07,67.27,0.3,-1093.0,4
HONAUT.NS,2021-03-22,2021-05-03,44812.55,41515.69,-7.4,-38639.0,6
MAHABANK.NS,2021-03-22,2021-06-14,17.85,21.35,19.6,101053.0,12
POLYCAB.NS,2021-03-22,2021-08-02,1346.26,1772.89,31.7,164601.0,19
SCI.NS,2021-03-22,2021-08-16,106.83,90.76,-15.0,-82144.0,21
BALRAMCHIN.NS,2021-03-22,2021-10-18,205.77,302.37,46.9,245462.0,30
KPITTECH.NS,2021-03-22,2021-10-18,170.36,301.9,77.2,405424.0,30
GODREJIND.NS,2021-03-22,2021-11-22,530.75,570.0,7.4,36425.0,35
SHREECEM.NS,2021-03-29,2021-04-19,29217.77,27604.44,-5.5,-31597.0,3
UPL.NS,2021-03-29,2021-04-19,611.55,552.37,-9.7,-55818.0,3
NEULANDLAB.NS,2021-03-29,2021-05-10,2169.83,2065.75,-4.8,-14563.0,6
JSWSTEEL.NS,2021-03-29,2021-06-14,483.31,618.28,27.9,150462.0,11
NATIONALUM.NS,2021-03-29,2021-06-14,46.08,51.55,11.9,62379.0,11
HINDALCO.NS,2021-03-29,2021-08-16,335.93,397.31,18.3,238.0,20
TATASTEEL.NS,2021-03-29,2021-09-20,72.71,109.69,50.9,276479.0,25
RHIM.NS,2021-04-05,2021-11-15,290.74,331.58,14.0,62488.0,32
CIPLA.NS,2021-04-12,2021-05-03,902.0,851.67,-5.6,-33380.0,3
GLENMARK.NS,2021-04-12,2021-07-26,559.29,603.34,7.9,40532.0,15
INOXWIND.NS,2021-04-19,2021-05-03,22.23,18.25,-17.9,-100604.0,2
ELGIEQUIP.NS,2021-04-19,2021-08-16,223.08,199.39,-10.6,-60829.0,17
SARDAEN.NS,2021-04-19,2021-08-23,47.46,68.39,44.1,238558.0,18
ELECON.NS,2021-04-19,2021-10-18,42.06,74.61,77.4,420692.0,26
APARINDS.NS,2021-04-26,2021-06-14,469.37,481.94,2.7,10182.0,7
VEDL.NS,2021-04-26,2021-06-14,122.45,117.94,-3.7,-23450.0,7
KIRLOSENG.NS,2021-04-26,2021-08-02,162.64,220.03,35.3,113.0,14
CDSL.NS,2021-04-26,2021-08-09,380.54,589.47,54.9,305012.0,15
GALLANTT.NS,2021-04-26,2021-08-09,53.72,70.89,32.0,176498.0,15
TATAELXSI.NS,2021-04-26,2021-11-22,3258.24,5318.3,63.2,350643.0,30
USHAMART.NS,2021-04-26,2021-11-22,46.47,81.2,74.7,416354.0,30
CGCL.NS,2021-04-26,2021-12-13,430.97,462.19,7.2,37789.0,33
BHEL.NS,2021-05-03,2021-06-14,57.74,61.87,7.2,3560.0,6
CGPOWER.NS,2021-05-03,2021-06-14,89.89,79.13,-12.0,-73619.0,6
GESHIP.NS,2021-05-03,2021-07-05,315.76,304.54,-3.6,-23916.0,9
RPOWER.NS,2021-05-03,2021-07-12,6.65,12.5,88.0,516006.0,10
CCL.NS,2021-05-03,2021-08-16,307.25,363.28,18.2,104571.0,15
JPPOWER.NS,2021-05-10,2021-07-19,3.95,5.15,30.4,2.0,10
NLCINDIA.NS,2021-05-10,2021-07-19,54.33,50.3,-7.4,-9671.0,10
UPL.NS,2021-05-10,2021-08-16,712.22,696.73,-2.2,-15379.0,14
GODREJCP.NS,2021-05-10,2021-09-20,810.28,990.86,22.3,125190.0,19
MOTILALOFS.NS,2021-05-17,2021-06-21,821.64,758.66,-7.7,-49060.0,5
BALKRISIND.NS,2021-05-17,2021-08-16,2040.1,2157.4,5.7,30758.0,13
PNBHOUSING.NS,2021-05-31,2021-06-14,720.69,573.14,-20.5,-132688.0,2
HINDUNILVR.NS,2021-06-14,2021-07-19,2268.45,2161.44,-4.7,-33063.0,5
JWL.NS,2021-06-14,2021-07-19,30.58,32.96,7.8,46283.0,5
SUZLON.NS,2021-06-14,2021-07-19,6.7,6.79,1.4,5512.0,5
ABB.NS,2021-06-14,2021-08-02,1643.03,1615.77,-1.7,-13700.0,7
ACE.NS,2021-06-14,2021-08-09,215.55,223.81,3.8,21130.0,8
FACT.NS,2021-06-14,2021-08-16,138.84,119.7,-13.8,-90666.0,9
DABUR.NS,2021-06-14,2021-09-27,539.24,583.31,8.2,48684.0,15
TATACONSUM.NS,2021-06-14,2021-09-27,699.43,772.39,10.4,62980.0,15
CHAMBLFERT.NS,2021-06-14,2021-10-11,271.8,346.09,27.3,170289.0,17
JKTYRE.NS,2021-06-14,2021-10-25,137.62,138.4,0.6,440.0,19
UNOMINDA.NS,2021-06-14,2021-11-22,324.32,410.63,26.6,165717.0,23
GRAVITA.NS,2021-06-14,2022-03-28,117.27,332.98,184.0,1164585.0,41
CENTRALBK.NS,2021-06-21,2021-08-02,24.58,21.25,-13.5,-90074.0,6
DALBHARAT.NS,2021-07-05,2021-08-02,2086.1,1910.8,-8.4,-56330.0,4
HBLENGINE.NS,2021-07-05,2021-08-16,53.73,47.69,-11.2,-78394.0,6
JMFINANCIL.NS,2021-07-12,2021-08-09,97.36,85.37,-12.3,-87522.0,4
GLAXO.NS,2021-07-19,2021-08-16,1481.62,1362.22,-8.1,-58574.0,4
ACC.NS,2021-07-19,2021-09-20,2234.28,2203.93,-1.4,-12724.0,9
WIPRO.NS,2021-07-19,2021-10-25,274.09,297.38,8.5,22.0,14
APARINDS.NS,2021-07-19,2022-01-31,584.78,655.05,12.0,46417.0,28
SCHAEFFLER.NS,2021-07-19,2022-02-07,1295.78,1585.92,22.4,149953.0,29
NATIONALUM.NS,2021-07-26,2021-08-09,73.81,65.17,-11.7,-84353.0,2
BLS.NS,2021-07-26,2021-09-20,37.47,56.98,52.1,356774.0,8
OLECTRA.NS,2021-07-26,2022-02-14,318.04,746.11,134.6,927403.0,29
LAURUSLABS.NS,2021-08-02,2021-09-13,675.62,637.26,-5.7,-40355.0,6
PIIND.NS,2021-08-02,2021-09-20,3086.61,3156.91,2.3,12196.0,7
SONATSOFTW.NS,2021-08-02,2021-10-18,287.97,268.04,-6.9,-50987.0,11
TATAINVEST.NS,2021-08-02,2021-10-25,122.09,137.94,13.0,85740.0,12
NH.NS,2021-08-02,2022-05-09,537.02,667.2,24.2,163155.0,40
BHARTIARTL.NS,2021-08-09,2021-08-23,605.17,564.66,-6.7,-48855.0,2
BSOFT.NS,2021-08-09,2021-09-27,392.25,373.61,-4.8,-432.0,7
INFY.NS,2021-08-09,2021-09-27,1487.36,1456.7,-2.1,-17412.0,7
IPCALAB.NS,2021-08-09,2021-10-04,1173.38,1148.11,-2.2,-18020.0,8
HCLTECH.NS,2021-08-09,2021-10-11,911.25,1016.27,11.5,74851.0,9
