date,nifty_close,india_vix
2018-07-16,10936.85,12.95
2018-07-17,11008.05,12.83
2018-07-18,10980.45,13.68
2018-07-19,10957.1,13.59
2018-07-20,11010.2,13.54
2018-07-23,11084.75,13.01
2018-07-24,11134.3,12.47
2018-07-25,11132.0,12.21
2018-07-26,11167.3,12.03
2018-07-27,11278.35,12.31
2018-07-30,11319.55,12.59
2018-07-31,11356.5,12.48
2018-08-01,11346.2,12.53
2018-08-02,11244.7,12.56
2018-08-03,11360.8,12.08
2018-08-06,11387.1,12.56
2018-08-07,11389.45,12.58
2018-08-08,11450.0,12.54
2018-08-09,11470.7,12.68
2018-08-10,11429.5,12.85
2018-08-13,11355.75,13.4
2018-08-14,11435.1,13.28
2018-08-16,11385.05,13.65
2018-08-17,11470.75,13.16
2018-08-20,11551.75,13.03
2018-08-21,11570.9,12.9
2018-08-23,11582.75,12.76
2018-08-24,11557.1,12.41
2018-08-27,11691.95,12.24
2018-08-28,11738.5,12.43
2018-08-29,11691.9,12.44
2018-08-30,11676.8,12.41
2018-08-31,11680.5,12.6
2018-09-03,11582.35,13.39
2018-09-04,11520.3,13.78
2018-09-05,11476.95,13.65
2018-09-06,11536.9,13.72
2018-09-07,11589.1,13.89
2018-09-10,11438.1,15.2
2018-09-11,11287.5,15.33
2018-09-12,11369.9,14.25
2018-09-14,11515.2,13.84
2018-09-17,11377.75,14.5
2018-09-18,11278.9,14.42
2018-09-19,11234.35,14.01
2018-09-21,11143.1,15.54
2018-09-24,10967.4,17.43
2018-09-25,11067.45,16.68
2018-09-26,11053.8,17.09
2018-09-27,10977.55,16.92
2018-09-28,10930.45,17.0
2018-10-01,11008.3,16.84
2018-10-03,10858.25,18.12
2018-10-04,10599.25,18.92
2018-10-05,10316.45,19.73
2018-10-08,10348.05,20.15
2018-10-09,10301.05,19.76
2018-10-10,10460.1,17.91
2018-10-11,10234.65,20.55
2018-10-12,10472.5,18.63
2018-10-15,10512.5,18.89
2018-10-16,10584.75,17.37
2018-10-17,10453.05,17.98
2018-10-19,10303.55,19.79
2018-10-22,10245.25,21.36
2018-10-23,10146.8,19.04
2018-10-24,10224.75,18.88
2018-10-25,10124.9,18.96
2018-10-26,10030.0,19.23
2018-10-29,10250.85,19.83
2018-10-30,10198.4,20.5
2018-10-31,10386.6,19.8
2018-11-01,10380.45,19.19
2018-11-02,10553.0,18.23
2018-11-05,10524.0,19.48
2018-11-06,10530.0,18.51
2018-11-07,10598.4,17.72
2018-11-09,10585.2,17.77
2018-11-12,10482.2,19.37
2018-11-13,10582.5,18.7
2018-11-14,10576.3,18.83
2018-11-15,10616.7,18.45
2018-11-16,10682.2,18.35
2018-11-19,10763.4,19.26
2018-11-20,10656.2,19.33
2018-11-21,10600.05,19.56
2018-11-22,10526.75,19.16
2018-11-26,10628.6,20.4
2018-11-27,10685.6,18.32
2018-11-28,10728.85,17.96
2018-11-29,10858.7,18.7
2018-11-30,10876.75,19.16
2018-12-03,10883.75,18.22
2018-12-04,10869.5,18.11
2018-12-05,10782.9,18.39
2018-12-06,10601.15,19.31
2018-12-07,10693.7,18.59
2018-12-10,10488.45,20.44
2018-12-11,10549.15,17.95
2018-12-12,10737.6,15.81
2018-12-13,10791.55,15.55
2018-12-14,10805.45,15.16
2018-12-17,10888.35,14.54
2018-12-18,10908.7,14.58
2018-12-19,10967.3,14.66
2018-12-20,10951.7,14.33
2018-12-21,10754.0,15.99
2018-12-24,10663.5,15.75
2018-12-26,10729.85,15.92
2018-12-27,10779.8,16.07
2018-12-28,10859.9,15.27
2018-12-31,10862.55,16.0
2019-01-01,10862.55,15.33
2019-01-02,10792.5,16.39
2019-01-03,10672.25,16.79
2019-01-04,10727.35,16.16
2019-01-07,10771.8,16.3
2019-01-08,10802.15,15.7
2019-01-09,10855.15,15.27
2019-01-10,10821.6,15.35
2019-01-11,10794.95,15.35
2019-01-14,10737.6,16.16
2019-01-15,10886.8,15.58
2019-01-16,10890.3,16.08
2019-01-17,10905.2,16.24
2019-01-18,10906.95,16.62
2019-01-21,10961.85,18.15
2019-01-22,10922.75,17.99
2019-01-23,10831.5,18.09
2019-01-24,10849.8,17.43
2019-01-25,10780.55,17.69
2019-01-28,10661.55,18.9
2019-01-29,10652.2,18.43
2019-01-30,10651.8,17.85
2019-01-31,10830.95,17.12
2019-02-01,10893.65,15.72
2019-02-04,10912.25,15.72
2019-02-05,10934.35,15.78
2019-02-06,11062.45,15.63
2019-02-07,11069.4,15.44
2019-02-08,10943.6,15.57
2019-02-11,10888.8,15.84
2019-02-12,10831.4,15.75
2019-02-14,10746.05,15.77
2019-02-15,10724.4,16.46
2019-02-18,10640.95,18.0
2019-02-19,10604.35,18.47
2019-02-20,10735.45,17.06
2019-02-21,10789.85,16.05
2019-02-22,10791.65,15.45
2019-02-25,10880.1,15.36
2019-02-26,10835.3,17.11
2019-02-27,10806.65,18.9
2019-02-28,10792.5,18.28
2019-03-01,10863.5,16.27
2019-03-05,10987.45,15.66
2019-03-06,11053.0,15.61
2019-03-07,11058.2,15.29
2019-03-08,11035.4,14.94
2019-03-11,11168.05,14.9
2019-03-12,11301.2,15.1
2019-03-13,11341.7,15.28
2019-03-14,11343.25,15.15
2019-03-15,11426.85,15.87
2019-03-18,11462.2,16.9
2019-03-19,11532.4,16.49
2019-03-20,11521.05,16.03
2019-03-22,11456.9,16.27
2019-03-25,11354.25,16.67
2019-03-26,11483.25,16.49
2019-03-27,11445.05,17.05
2019-03-28,11570.0,16.65
2019-04-01,11669.15,18.01
2019-04-02,11713.2,18.08
2019-04-03,11643.95,18.78
2019-04-04,11598.0,18.65
2019-04-05,11665.95,18.39
2019-04-08,11604.5,20.15
2019-04-09,11671.95,20.28
2019-04-10,11584.3,21.13
2019-04-11,11596.7,20.96
2019-04-12,11643.45,21.0
2019-04-15,11690.35,21.39
2019-04-16,11787.15,21.69
2019-04-18,11752.8,22.74
2019-04-22,11594.45,24.05
2019-04-23,11575.95,24.65
2019-04-24,11726.15,23.71
2019-04-25,11641.8,23.23
2019-04-26,11754.65,21.72
2019-04-30,11748.15,21.83
2019-05-02,11724.75,22.98
2019-05-03,11712.25,24.03
2019-05-06,11598.25,26.43
2019-05-07,11497.9,26.48
2019-05-08,11359.45,26.37
2019-05-09,11301.8,25.49
2019-05-10,11278.9,26.34
2019-05-13,11148.2,27.38
2019-05-14,11222.05,27.13
2019-05-15,11157.0,28.66
2019-05-16,11257.1,28.37
2019-05-17,11407.15,28.08
2019-05-20,11828.25,23.68
2019-05-21,11709.1,25.65
2019-05-22,11737.9,27.63
2019-05-23,11657.05,19.41
2019-05-24,11844.1,16.47
2019-05-27,11924.75,16.19
2019-05-28,11928.75,15.92
2019-05-29,11861.1,16.41
2019-05-30,11945.9,15.61
2019-05-31,11922.8,16.07
2019-06-03,12088.55,15.97
2019-06-04,12021.65,15.63
2019-06-06,11843.75,15.53
2019-06-07,11870.65,14.86
2019-06-10,11922.7,14.98
2019-06-11,11965.6,14.49
2019-06-12,11906.2,14.12
2019-06-13,11914.05,13.66
2019-06-14,11823.3,13.9
2019-06-17,11672.15,14.65
2019-06-18,11691.5,14.6
2019-06-19,11691.45,14.73
2019-06-20,11831.75,14.0
2019-06-21,11724.1,14.61
2019-06-24,11699.65,15.22
2019-06-25,11796.45,15.01
2019-06-26,11847.55,14.75
2019-06-27,11841.55,14.65
2019-06-28,11788.85,14.95
2019-07-01,11865.6,14.6
2019-07-02,11910.3,14.25
2019-07-03,11916.75,13.7
2019-07-04,11946.75,13.53
2019-07-05,11811.15,13.07
2019-07-08,11558.6,13.85
2019-07-09,11555.9,13.69
2019-07-10,11498.9,13.64
2019-07-11,11582.9,12.47
2019-07-12,11552.5,12.0
2019-07-15,11588.35,12.02
2019-07-16,11662.6,11.56
2019-07-17,11687.5,11.8
2019-07-18,11596.9,11.75
2019-07-19,11419.25,12.52
2019-07-22,11346.2,13.01
2019-07-23,11331.05,13.43
2019-07-24,11271.3,12.76
2019-07-25,11252.15,12.64
2019-07-26,11284.3,12.13
2019-07-29,11189.2,13.06
2019-07-30,11085.4,13.61
2019-07-31,11118.0,13.59
2019-08-01,10980.0,14.56
2019-08-02,10997.35,15.19
2019-08-05,10862.6,16.59
2019-08-06,10948.25,16.12
2019-08-07,10855.5,16.74
2019-08-08,11032.45,16.09
2019-08-09,11109.65,15.85
2019-08-13,10925.85,17.78
2019-08-14,11029.4,16.36
2019-08-16,11047.8,16.65
2019-08-19,11053.9,16.75
2019-08-20,11017.0,16.63
2019-08-21,10918.7,17.02
2019-08-22,10741.35,17.85
2019-08-23,10829.35,17.35
2019-08-26,11057.85,16.66
2019-08-27,11105.35,16.01
2019-08-28,11046.1,16.84
2019-08-29,10948.3,16.43
2019-08-30,11023.25,16.28
2019-09-03,10797.9,18.06
2019-09-04,10844.65,17.24
2019-09-05,10847.9,17.27
2019-09-06,10946.2,16.27
2019-09-09,11003.05,15.85
2019-09-11,11035.7,15.37
2019-09-12,10982.8,14.9
2019-09-13,11075.9,14.12
2019-09-16,11003.5,14.95
2019-09-17,10817.6,16.02
2019-09-18,10840.65,15.35
2019-09-19,10704.8,15.55
2019-09-20,11274.2,15.4
2019-09-23,11600.2,16.79
2019-09-24,11588.2,16.73
2019-09-25,11440.2,16.17
2019-09-26,11571.2,16.34
2019-09-27,11512.4,16.11
2019-09-30,11474.45,15.87
2019-10-01,11359.9,16.76
2019-10-03,11314.0,17.7
2019-10-04,11174.75,17.58
2019-10-07,11126.4,17.83
2019-10-09,11313.3,17.16
2019-10-10,11234.55,17.23
2019-10-11,11305.05,17.14
2019-10-14,11341.15,17.43
2019-10-15,11428.3,16.85
2019-10-16,11464.0,16.36
2019-10-17,11586.35,15.88
2019-10-18,11661.85,15.93
2019-10-22,11588.35,16.81
2019-10-23,11604.1,16.54
2019-10-24,11582.6,16.24
2019-10-25,11583.9,15.32
2019-10-29,11786.85,16.42
2019-10-30,11844.1,16.66
2019-10-31,11877.45,16.28
2019-11-01,11890.6,15.73
2019-11-04,11941.3,15.93
2019-11-05,11917.2,15.92
2019-11-06,11966.05,15.78
2019-11-07,12012.05,15.21
2019-11-08,11908.15,15.86
2019-11-11,11913.45,16.25
2019-11-13,11840.45,16.46
2019-11-14,11872.1,15.65
2019-11-15,11895.45,15.03
2019-11-18,11884.5,15.76
2019-11-19,11940.1,15.41
2019-11-20,11999.1,15.16
2019-11-21,11968.4,14.98
2019-11-22,11914.4,14.87
2019-11-25,12073.75,15.0
2019-11-26,12037.7,14.84
2019-11-27,12100.7,14.62
2019-11-28,12151.15,13.99
2019-11-29,12056.05,13.9
2019-12-02,12048.2,14.2
2019-12-03,11994.2,14.56
2019-12-04,12043.2,13.32
2019-12-05,12018.4,14.31
2019-12-06,11921.5,13.64
2019-12-09,11937.5,14.6
2019-12-10,11856.8,14.29
2019-12-11,11910.15,13.38
2019-12-12,11971.8,13.35
2019-12-13,12086.7,13.3
2019-12-16,12053.95,13.42
2019-12-17,12165.0,12.52
2019-12-18,12221.65,12.34
2019-12-19,12259.7,12.12
2019-12-20,12271.8,12.33
2019-12-23,12262.75,11.96
2019-12-24,12214.55,11.63
2019-12-26,12126.55,11.12
2019-12-27,12245.8,10.53
2019-12-30,12255.85,11.01
2019-12-31,12168.45,11.67
2020-01-01,12182.5,11.67
2020-01-02,12282.2,11.49
2020-01-03,12226.65,12.7
2020-01-06,11993.05,14.78
2020-01-07,12052.95,14.61
2020-01-08,12025.35,15.64
2020-01-09,12215.9,14.0
2020-01-10,12256.8,14.08
2020-01-13,12329.55,14.28
2020-01-14,12362.3,13.91
2020-01-15,12343.3,14.12
2020-01-16,12355.5,14.18
2020-01-17,12352.35,14.13
2020-01-20,12224.55,15.41
2020-01-21,12169.85,15.86
2020-01-22,12106.9,16.36
2020-01-23,12180.35,15.86
2020-01-24,12248.25,15.56
2020-01-27,12119.0,17.18
2020-01-28,12055.8,17.3
2020-01-29,12129.5,16.5
2020-01-30,12035.8,16.8
2020-01-31,11962.1,17.37
2020-02-03,11707.9,15.78
2020-02-04,11979.65,14.38
2020-02-05,12089.15,14.17
2020-02-06,12137.95,13.78
2020-02-07,12098.35,13.75
2020-02-10,12031.5,14.21
2020-02-11,12107.9,13.88
2020-02-12,12201.2,13.62
2020-02-13,12174.65,13.37
2020-02-14,12113.45,13.62
2020-02-17,12045.8,14.42
2020-02-18,11992.5,14.51
2020-02-19,12125.9,14.02
