entry,expiry,spot_entry,strike,india_vix,premium_paid,spot_expiry,move_pct,net_pnl_points,return_pct
2019-12-27,2020-01-30,12245.80,12250,10.53,318.04,12035.80,-1.71,-110.20,-33.97
2020-01-31,2020-02-27,11962.10,11950,17.37,452.96,11633.30,-2.75,-145.32,-31.45
2020-02-28,2020-03-26,11201.75,11200,23.24,565.18,8641.45,-22.86,1982.07,343.82
2020-03-27,2020-04-30,8660.25,8650,70.39,1477.12,9859.90,13.85,-296.76,-19.70
2020-05-04,2020-05-28,9293.50,9300,43.67,828.86,9490.10,2.12,-655.34,-77.51
2020-05-29,2020-06-25,9580.30,9600,30.22,627.59,10288.90,7.40,48.76,7.62
2020-06-26,2020-07-30,10383.00,10400,28.74,725.76,11102.15,6.93,-38.13,-5.15
2020-07-31,2020-08-27,11073.45,11050,24.19,582.39,11559.25,4.39,-84.79,-14.27
2020-08-28,2020-09-24,11647.60,11650,18.35,464.67,10805.55,-7.23,370.49,78.17
2020-09-25,2020-10-29,11050.25,11050,20.68,557.28,11670.80,5.62,52.38,9.21
2020-10-30,2020-11-26,11642.40,11650,24.75,625.08,12987.00,11.55,699.42,109.70
2020-11-27,2020-12-31,12968.95,12950,19.82,628.32,13981.75,7.81,390.86,60.99
2021-01-01,2021-01-28,14018.50,14000,21.10,643.48,13817.55,-1.43,-473.90,-72.20
2021-01-29,2021-02-25,13634.60,13650,25.34,749.30,15097.35,10.73,683.06,89.37
2021-02-26,2021-03-25,14529.15,14550,28.14,886.39,14324.90,-1.41,-679.01,-75.10
2021-03-26,2021-04-29,14507.30,14500,20.65,730.95,14894.90,2.67,-350.67,-47.03
2021-04-30,2021-05-27,14631.10,14650,23.03,730.96,15337.85,4.83,-57.73,-7.74
2021-05-28,2021-06-24,15435.65,15450,17.40,583.61,15790.45,2.30,-254.83,-42.81
2021-06-25,2021-07-29,15860.35,15850,13.37,521.56,15778.45,-0.52,-460.44,-86.55
2021-07-30,2021-08-26,15763.05,15750,12.80,442.31,16636.90,5.54,435.75,96.59
2021-08-27,2021-09-30,16705.20,16700,13.41,550.32,17618.15,5.47,356.83,63.57
2021-10-01,2021-10-28,17532.05,17550,17.21,655.61,17857.25,1.85,-361.47,-54.05
2021-10-29,2021-11-25,17671.65,17650,17.43,671.74,17536.25,-0.77,-571.42,-83.40
2021-11-26,2021-12-30,17026.45,17050,20.80,862.60,17203.95,1.04,-725.90,-82.50
2021-12-31,2022-01-27,17354.05,17350,16.22,613.23,17110.15,-1.41,-385.64,-61.65
2022-01-28,2022-02-24,17101.95,17100,20.70,769.17,16247.95,-4.99,67.50,8.60
2022-02-25,2022-03-31,16658.40,16650,26.74,1084.39,17464.75,4.84,-291.32,-26.34
2022-04-01,2022-04-28,17670.45,17650,18.43,709.53,17245.05,-2.41,-318.77,-44.05
2022-04-29,2022-05-26,17102.55,17100,19.42,722.05,16170.15,-5.45,193.36,26.25
2022-05-27,2022-06-30,16352.45,16350,21.48,856.38,15780.25,-3.50,-303.76,-34.77
2022-07-01,2022-07-28,15752.05,15750,21.25,727.15,16929.60,7.48,437.91,59.04
2022-07-29,2022-08-25,17158.25,17150,16.55,618.79,17522.45,2.12,-258.72,-40.99
